genomes,Total_COGs
Pseudomonas_aeruginosa_192S190811BSL_PA2_11077,1451
Pseudomonas_aeruginosa_197S020911BSL_PA1_11075,1455
Pseudomonas_aeruginosa_197S020911BSL_PA2_11074,1456
Pseudomonas_aeruginosa_197S020911BSL_PA3_11072,1449
Pseudomonas_aeruginosa_197S020911BSL_PA4_11073,1454
Pseudomonas_aeruginosa_19BR,1465
Pseudomonas_aeruginosa_1BAE_isolate_KK1_9927,1462
Pseudomonas_aeruginosa_201s070911bsl_PA2_11071,1465
Pseudomonas_aeruginosa_2032935751_10893,1453
Pseudomonas_aeruginosa_2042723558_10892,1465
Pseudomonas_aeruginosa_21_10833,1452
Pseudomonas_aeruginosa_213BR,1465
Pseudomonas_aeruginosa_221_10832,1459
Pseudomonas_aeruginosa_230_PAER_2866,1460
Pseudomonas_aeruginosa_2320_7153,1456
Pseudomonas_aeruginosa_2321_6508,1458
Pseudomonas_aeruginosa_2325_6593,1463
Pseudomonas_aeruginosa_2357_6857,1457
Pseudomonas_aeruginosa_239A_isolate_13121-1_9926,1469
Pseudomonas_aeruginosa_24Pae112_9634,1459
Pseudomonas_aeruginosa_2570_6256,1459
Pseudomonas_aeruginosa_259S240811BSL_PA1_11060,1464
Pseudomonas_aeruginosa_259S240811BSL_PA2_11070,1465
Pseudomonas_aeruginosa_272S250511BSL_PA1_11056,1463
Pseudomonas_aeruginosa_274S010611BSL_PA1_11052,1450
Pseudomonas_aeruginosa_278S180511BSL_PA1_11069,1470
Pseudomonas_aeruginosa_278S180511BSL_PA2_11053,1471
Pseudomonas_aeruginosa_279_6928,1469
Pseudomonas_aeruginosa_279_PAER_3097,1441
Pseudomonas_aeruginosa_2810_10595,1448
Pseudomonas_aeruginosa_282_7227,1452
Pseudomonas_aeruginosa_286S270711BSL_PA1_11068,1469
Pseudomonas_aeruginosa_295s071211BSL_PA1_11055,1457
Pseudomonas_aeruginosa_295s071211BSL_PA2_11051,1466
Pseudomonas_aeruginosa_297_6956,1455
Pseudomonas_aeruginosa_298S020611BSL_PA1_11050,1464
Pseudomonas_aeruginosa_29S030611BSL_PA1_11087,1462
Pseudomonas_aeruginosa_2A42_isolate_U018A_9918,1462
Pseudomonas_aeruginosa_2D9A_isolate_AUS23_6462,1463
Pseudomonas_aeruginosa_2S030611BSL_PA1_11089,1474
Pseudomonas_aeruginosa_3020837212_10850,1470
Pseudomonas_aeruginosa_3052425557_10848,1471
Pseudomonas_aeruginosa_313s141011BSL_PA1_11066,1458
Pseudomonas_aeruginosa_3141_10640,1471
Pseudomonas_aeruginosa_318S170811BSL_PA1_11048,1464
Pseudomonas_aeruginosa_326S290611BSL_PA1_11046,1460
Pseudomonas_aeruginosa_326S290611BSL_PA2_11044,1459
Pseudomonas_aeruginosa_326S290611BSL_PA3_11063,1460
Pseudomonas_aeruginosa_333S200112BSL_PA1_11043,1459
Pseudomonas_aeruginosa_354_6648,1456
Pseudomonas_aeruginosa_3573,1457
Pseudomonas_aeruginosa_3574,1466
Pseudomonas_aeruginosa_3578,1471
Pseudomonas_aeruginosa_3579,1466
Pseudomonas_aeruginosa_3580,1468
Pseudomonas_aeruginosa_3581,1471
Pseudomonas_aeruginosa_367_PAER_2867,1470
Pseudomonas_aeruginosa_37s051011BSL_PA1_11086,1454
Pseudomonas_aeruginosa_39145_10248,1469
Pseudomonas_aeruginosa_392_6207,1459
Pseudomonas_aeruginosa_3C52_K_isolate_968333S_9933,1465
Pseudomonas_aeruginosa_4012_0_isolate_C3719_9937,1455
Pseudomonas_aeruginosa_403_6033,1461
Pseudomonas_aeruginosa_4044301968_10865,1462
Pseudomonas_aeruginosa_4094341901_10894,1461
Pseudomonas_aeruginosa_4094345258_10870,1462
Pseudomonas_aeruginosa_4094345290_11096,1467
Pseudomonas_aeruginosa_41004355322_10900,1465
Pseudomonas_aeruginosa_4104355315_10851,1470
Pseudomonas_aeruginosa_4104355340-13_10856,1455
Pseudomonas_aeruginosa_4104355340-15_10890,1455
Pseudomonas_aeruginosa_4114358565_10891,1460
Pseudomonas_aeruginosa_4124363474-15_10864,1466
Pseudomonas_aeruginosa_4124363505_10873,1455
Pseudomonas_aeruginosa_427_PAER_2870,1456
Pseudomonas_aeruginosa_462_7255,1463
Pseudomonas_aeruginosa_462_PAER_2871,1455
Pseudomonas_aeruginosa_468_PAER_2872,1451
Pseudomonas_aeruginosa_499_PAER_2898,1475
Pseudomonas_aeruginosa_5014375233_10849,1469
Pseudomonas_aeruginosa_5014375428_10852,1470
Pseudomonas_aeruginosa_5023272159_10853,1460
Pseudomonas_aeruginosa_5024382738-26_10855,1463
Pseudomonas_aeruginosa_5024382749-13_10889,1462
Pseudomonas_aeruginosa_5024382749-14_10859,1452
Pseudomonas_aeruginosa_5024383182_10888,1472
Pseudomonas_aeruginosa_5034388498-21_10897,1469
Pseudomonas_aeruginosa_5034388513_10866,1472
Pseudomonas_aeruginosa_5054407658-16_10871,1465
Pseudomonas_aeruginosa_5054408345_10887,1416
Pseudomonas_aeruginosa_5054408350-20_10895,1465
Pseudomonas_aeruginosa_5054408350-22_10896,1477
Pseudomonas_aeruginosa_5054408352_10858,1463
Pseudomonas_aeruginosa_506_6117,1466
Pseudomonas_aeruginosa_511653_5443,1457
Pseudomonas_aeruginosa_515477_5326,1446
Pseudomonas_aeruginosa_520374_526374_5314,1459
Pseudomonas_aeruginosa_53011_6807,1441
Pseudomonas_aeruginosa_53012_5958,1443
Pseudomonas_aeruginosa_53014_6450,1456
Pseudomonas_aeruginosa_549782_5511,1469
Pseudomonas_aeruginosa_549_PAER_2897,1461
Pseudomonas_aeruginosa_558344_5694,1468
Pseudomonas_aeruginosa_559543_5154,1466
Pseudomonas_aeruginosa_560747_5733,1452
Pseudomonas_aeruginosa_576_PAER_2874,1425
Pseudomonas_aeruginosa_577_PAER_2868,1432
Pseudomonas_aeruginosa_59883_10940,1461
Pseudomonas_aeruginosa_5989_10928,1472
Pseudomonas_aeruginosa_59901_10941,1463
Pseudomonas_aeruginosa_59903_10924,1462
Pseudomonas_aeruginosa_5991_10925,1468
Pseudomonas_aeruginosa_5992_10923,1462
Pseudomonas_aeruginosa_5993_10921,1463
Pseudomonas_aeruginosa_5994_10922,1467
Pseudomonas_aeruginosa_5997_10919,1467
Pseudomonas_aeruginosa_5998_10918,1459
Pseudomonas_aeruginosa_59991_10916,1469
Pseudomonas_aeruginosa_59992_10917,1463
Pseudomonas_aeruginosa_59993_10938,1467
Pseudomonas_aeruginosa_5BR2_10129,1469
Pseudomonas_aeruginosa_60001_10915,1466
Pseudomonas_aeruginosa_60002_10914,1470
Pseudomonas_aeruginosa_60003_10936,1471
Pseudomonas_aeruginosa_6001_10935,1453
Pseudomonas_aeruginosa_6003_7301,1475
Pseudomonas_aeruginosa_6010_7063,1467
Pseudomonas_aeruginosa_6014_6074,1474
Pseudomonas_aeruginosa_6077,1461
Pseudomonas_aeruginosa_6085_10910,1462
Pseudomonas_aeruginosa_60861_10911,1464
Pseudomonas_aeruginosa_60862_10909,1468
Pseudomonas_aeruginosa_6087_10908,1465
Pseudomonas_aeruginosa_608748_668748_5493,1460
Pseudomonas_aeruginosa_6088_10937,1459
Pseudomonas_aeruginosa_6089_10905,1471
Pseudomonas_aeruginosa_6090_10907,1468
Pseudomonas_aeruginosa_6093_10901,1455
Pseudomonas_aeruginosa_6095_10902,1465
Pseudomonas_aeruginosa_6096_10931,1464
Pseudomonas_aeruginosa_60971_10877,1453
Pseudomonas_aeruginosa_60973_10876,1454
Pseudomonas_aeruginosa_6098_10875,1460
Pseudomonas_aeruginosa_6D92_H_isolate_AMT0023-34_9922,1455
Pseudomonas_aeruginosa_6D92_H_isolate_AMT0060-1_9915,1463
Pseudomonas_aeruginosa_6D92_H_isolate_AMT0060-2_9929,1466
Pseudomonas_aeruginosa_6D92_H_isolate_AMT0060-3_9930,1464
Pseudomonas_aeruginosa_707A_6541,1458
Pseudomonas_aeruginosa_710_PAER_2882,1462
Pseudomonas_aeruginosa_712_7178,1469
Pseudomonas_aeruginosa_744_PAER_2878,1456
Pseudomonas_aeruginosa_792_PAER_2884,1442
Pseudomonas_aeruginosa_8488_6602,1455
Pseudomonas_aeruginosa_8489_6027,1467
Pseudomonas_aeruginosa_8491_6171,1466
Pseudomonas_aeruginosa_852_PAER_2879,1443
Pseudomonas_aeruginosa_85_6935,1456
Pseudomonas_aeruginosa_857_PAER_3098,1459
Pseudomonas_aeruginosa_859_PAER_2880,1436
Pseudomonas_aeruginosa_886-1_10257,1461
Pseudomonas_aeruginosa_908_PAER_2890,1461
Pseudomonas_aeruginosa_9092533235_10863,1466
Pseudomonas_aeruginosa_927_PAER_2891,1454
Pseudomonas_aeruginosa_934436V_10253,1469
Pseudomonas_aeruginosa_A17_10132,1431
Pseudomonas_aeruginosa_A19_10174,1467
Pseudomonas_aeruginosa_A1_A2448_10060,1449
Pseudomonas_aeruginosa_A22_10131,1465
Pseudomonas_aeruginosa_A3_10073,1471
Pseudomonas_aeruginosa_A3_H638_10059,1467
Pseudomonas_aeruginosa_Aa249_10103,1469
Pseudomonas_aeruginosa_AA43_9975,1464
Pseudomonas_aeruginosa_AA44_9980,1465
Pseudomonas_aeruginosa_AES1M_10829,1468
Pseudomonas_aeruginosa_AES1R_10830,1467
Pseudomonas_aeruginosa_AES-1R,1459
Pseudomonas_aeruginosa_AF9A_isolate_AA2_9939,1463
Pseudomonas_aeruginosa_AH16,1456
Pseudomonas_aeruginosa_AL191_9960,1456
Pseudomonas_aeruginosa_AL363_Israel_14_9987,1464
Pseudomonas_aeruginosa_AL561_9961,1459
Pseudomonas_aeruginosa_AMC_25-A-2_ATCC_8709,1432
Pseudomonas_aeruginosa_AMC_ATCC_142,1428
Pseudomonas_aeruginosa_AMT0005-138_10187,1456
Pseudomonas_aeruginosa_AMT0006-1_10186,1459
Pseudomonas_aeruginosa_AMT0006-64_10610,1460
Pseudomonas_aeruginosa_AMT0006-65_10609,1458
Pseudomonas_aeruginosa_AMT0006-66_10269,1460
Pseudomonas_aeruginosa_AMT0020-1_10268,1455
Pseudomonas_aeruginosa_AMT0020-83_10650,1467
Pseudomonas_aeruginosa_AMT0020-84_10185,1467
Pseudomonas_aeruginosa_AMT0046-109_10179,1465
Pseudomonas_aeruginosa_AMT0046-1_10183,1463
Pseudomonas_aeruginosa_AMT0047-125_10647,1456
Pseudomonas_aeruginosa_AMT0047-2_10606,1464
Pseudomonas_aeruginosa_AMT0071-76_10266,1458
Pseudomonas_aeruginosa_AT19_10301,1467
Pseudomonas_aeruginosa_AT31_10255,1476
Pseudomonas_aeruginosa_AT40_10254,1474
Pseudomonas_aeruginosa_AT7_10307,1474
Pseudomonas_aeruginosa_ATCC_15692,1463
Pseudomonas_aeruginosa_ATCC_27853_3989,1455
Pseudomonas_aeruginosa_ATCC_9027_5924,1440
Pseudomonas_aeruginosa_ATCC_BAA-2108_6531,1449
Pseudomonas_aeruginosa_ATCC_BAA-2112_6992,1470
Pseudomonas_aeruginosa_ATCC_BAA-2113_6125,1459
Pseudomonas_aeruginosa_ATCC_BAA-2114_5907,1457
Pseudomonas_aeruginosa_AU10014,1469
Pseudomonas_aeruginosa_AU10015,1478
Pseudomonas_aeruginosa_AU10241,1460
Pseudomonas_aeruginosa_AU10272,1469
Pseudomonas_aeruginosa_AU10409,1468
Pseudomonas_aeruginosa_AU10410,1478
Pseudomonas_aeruginosa_AU10756,1463
Pseudomonas_aeruginosa_AU10836,1472
Pseudomonas_aeruginosa_AU11866,1462
Pseudomonas_aeruginosa_AU12424,1471
Pseudomonas_aeruginosa_AU12528,1459
Pseudomonas_aeruginosa_AU13213,1465
Pseudomonas_aeruginosa_AU13626,1461
Pseudomonas_aeruginosa_AU14820,1474
Pseudomonas_aeruginosa_AU15431,1473
Pseudomonas_aeruginosa_AU19803,1458
Pseudomonas_aeruginosa_AU19804,1453
Pseudomonas_aeruginosa_AU20671,1471
Pseudomonas_aeruginosa_AU2342,1464
Pseudomonas_aeruginosa_AU23529,1480
Pseudomonas_aeruginosa_AU24156,1452
Pseudomonas_aeruginosa_AU24526,1466
Pseudomonas_aeruginosa_AU7198,1468
Pseudomonas_aeruginosa_AU7511,1456
Pseudomonas_aeruginosa_AU8251,1460
Pseudomonas_aeruginosa_AU9739,1471
Pseudomonas_aeruginosa_AU9899,1467
Pseudomonas_aeruginosa_AUS021_10270,1462
Pseudomonas_aeruginosa_AUS026_10230,1460
Pseudomonas_aeruginosa_AUS029_10224,1457
Pseudomonas_aeruginosa_AUS066_10222,1464
Pseudomonas_aeruginosa_AUS073_10227,1453
Pseudomonas_aeruginosa_AUS074_10655,1470
Pseudomonas_aeruginosa_AUS077_10221,1458
Pseudomonas_aeruginosa_AUS093_10289,1462
Pseudomonas_aeruginosa_AUS105_10216,1456
Pseudomonas_aeruginosa_AUS106_10280,1472
Pseudomonas_aeruginosa_AUS111_10283,1462
Pseudomonas_aeruginosa_AUS210_10247,1462
Pseudomonas_aeruginosa_AUS263_10274,1456
Pseudomonas_aeruginosa_AUS275_10242,1457
Pseudomonas_aeruginosa_AUS301_10290,1459
Pseudomonas_aeruginosa_AUS304_10232,1474
Pseudomonas_aeruginosa_AUS407_10235,1464
Pseudomonas_aeruginosa_AUS422_10196,1464
Pseudomonas_aeruginosa_AUS430_10278,1463
Pseudomonas_aeruginosa_AUS434_10205,1471
Pseudomonas_aeruginosa_AUS436_10202,1464
Pseudomonas_aeruginosa_AUS439_10200,1470
Pseudomonas_aeruginosa_AUS440_10267,1466
Pseudomonas_aeruginosa_AUS462_10298,1464
Pseudomonas_aeruginosa_AUS471_10234,1456
Pseudomonas_aeruginosa_AUS675_10271,1461
Pseudomonas_aeruginosa_AUS702_10223,1463
Pseudomonas_aeruginosa_AUS717_10652,1462
Pseudomonas_aeruginosa_AUS719_10189,1462
Pseudomonas_aeruginosa_AUS720_10192,1461
Pseudomonas_aeruginosa_AZPAE12137_2384,1450
Pseudomonas_aeruginosa_AZPAE12138_2381,1466
Pseudomonas_aeruginosa_AZPAE12140_2385,1452
Pseudomonas_aeruginosa_AZPAE12142_2387,1450
Pseudomonas_aeruginosa_AZPAE12143_2388,1457
Pseudomonas_aeruginosa_AZPAE12144_2389,1454
Pseudomonas_aeruginosa_AZPAE12145_2391,1462
Pseudomonas_aeruginosa_AZPAE12146_2392,1451
Pseudomonas_aeruginosa_AZPAE13757_2337,1464
Pseudomonas_aeruginosa_AZPAE13848_2338,1463
Pseudomonas_aeruginosa_AZPAE13853_2340,1463
Pseudomonas_aeruginosa_AZPAE13856_2556,1467
Pseudomonas_aeruginosa_AZPAE13858_2341,1464
Pseudomonas_aeruginosa_AZPAE13860_2557,1458
Pseudomonas_aeruginosa_AZPAE13864_2343,1469
Pseudomonas_aeruginosa_AZPAE13866_2558,1470
Pseudomonas_aeruginosa_AZPAE13872_2559,1468
Pseudomonas_aeruginosa_AZPAE13876_2345,1439
Pseudomonas_aeruginosa_AZPAE13877_2346,1460
Pseudomonas_aeruginosa_AZPAE14353_2350,1463
Pseudomonas_aeruginosa_AZPAE14359_2351,1457
Pseudomonas_aeruginosa_AZPAE14372_2561,1459
Pseudomonas_aeruginosa_AZPAE14373_2355,1459
Pseudomonas_aeruginosa_AZPAE14379_2563,1458
Pseudomonas_aeruginosa_AZPAE14381_2356,1452
Pseudomonas_aeruginosa_AZPAE14390_2358,1466
Pseudomonas_aeruginosa_AZPAE14393_2359,1455
Pseudomonas_aeruginosa_AZPAE14394_2360,1466
Pseudomonas_aeruginosa_AZPAE14395_2361,1450
Pseudomonas_aeruginosa_AZPAE14398_2565,1451
Pseudomonas_aeruginosa_AZPAE14402_2362,1460
Pseudomonas_aeruginosa_AZPAE14403_2363,1465
Pseudomonas_aeruginosa_AZPAE14404_2364,1461
Pseudomonas_aeruginosa_AZPAE14410_2365,1460
Pseudomonas_aeruginosa_AZPAE14688_2300,1450
Pseudomonas_aeruginosa_AZPAE14689_2549,1463
Pseudomonas_aeruginosa_AZPAE14690_2301,1456
Pseudomonas_aeruginosa_AZPAE14691_2303,1456
Pseudomonas_aeruginosa_AZPAE14692_2302,1457
Pseudomonas_aeruginosa_AZPAE14694_2305,1450
Pseudomonas_aeruginosa_AZPAE14697_2307,1456
Pseudomonas_aeruginosa_AZPAE14698_2308,1419
Pseudomonas_aeruginosa_AZPAE14700_2310,1462
Pseudomonas_aeruginosa_AZPAE14701_2550,1471
Pseudomonas_aeruginosa_AZPAE14702_2311,1453
Pseudomonas_aeruginosa_AZPAE14703_2312,1448
Pseudomonas_aeruginosa_AZPAE14704_2313,1454
Pseudomonas_aeruginosa_AZPAE14705_2352,1449
Pseudomonas_aeruginosa_AZPAE14706_2566,1448
Pseudomonas_aeruginosa_AZPAE14707_2564,1467
Pseudomonas_aeruginosa_AZPAE14714_2569,1469
Pseudomonas_aeruginosa_AZPAE14715_2390,1465
Pseudomonas_aeruginosa_AZPAE14716_2342,1451
Pseudomonas_aeruginosa_AZPAE14717_2568,1471
Pseudomonas_aeruginosa_AZPAE14718_2562,1453
Pseudomonas_aeruginosa_AZPAE14719_2403,1461
Pseudomonas_aeruginosa_AZPAE14721_2368,1457
Pseudomonas_aeruginosa_AZPAE14722_2386,1462
Pseudomonas_aeruginosa_AZPAE14723_2348,1459
Pseudomonas_aeruginosa_AZPAE14724_2354,1466
Pseudomonas_aeruginosa_AZPAE14725_2314,1463
Pseudomonas_aeruginosa_AZPAE14726_2315,1458
Pseudomonas_aeruginosa_AZPAE14827_2555,1467
Pseudomonas_aeruginosa_AZPAE14828_2336,1459
Pseudomonas_aeruginosa_AZPAE14829_2288,1452
Pseudomonas_aeruginosa_AZPAE14830_2287,1457
Pseudomonas_aeruginosa_AZPAE14831_2546,1466
Pseudomonas_aeruginosa_AZPAE14832_2545,1459
Pseudomonas_aeruginosa_AZPAE14833_2290,1467
Pseudomonas_aeruginosa_AZPAE14836_2292,1459
Pseudomonas_aeruginosa_AZPAE14837_2293,1457
Pseudomonas_aeruginosa_AZPAE14838_2547,1473
Pseudomonas_aeruginosa_AZPAE14839_2294,1459
Pseudomonas_aeruginosa_AZPAE14840_2515,1466
Pseudomonas_aeruginosa_AZPAE14841_2094,1465
Pseudomonas_aeruginosa_AZPAE14842_2095,1458
Pseudomonas_aeruginosa_AZPAE14843_2096,1450
Pseudomonas_aeruginosa_AZPAE14844_2098,1459
Pseudomonas_aeruginosa_AZPAE14845_2099,1443
Pseudomonas_aeruginosa_AZPAE14873_2127,1441
Pseudomonas_aeruginosa_AZPAE14874_2128,1450
Pseudomonas_aeruginosa_AZPAE14875_2129,1467
Pseudomonas_aeruginosa_AZPAE14876_2130,1452
Pseudomonas_aeruginosa_AZPAE14879_2133,1447
Pseudomonas_aeruginosa_AZPAE14880_2134,1463
Pseudomonas_aeruginosa_AZPAE14881_2135,1428
Pseudomonas_aeruginosa_AZPAE14882_2137,1456
Pseudomonas_aeruginosa_AZPAE14883_2139,1439
Pseudomonas_aeruginosa_AZPAE14889_2146,1449
Pseudomonas_aeruginosa_AZPAE14890_2147,1467
Pseudomonas_aeruginosa_AZPAE14891_2148,1464
Pseudomonas_aeruginosa_AZPAE14892_2149,1451
Pseudomonas_aeruginosa_AZPAE14893_2150,1449
Pseudomonas_aeruginosa_AZPAE14895_2153,1457
Pseudomonas_aeruginosa_AZPAE14897_2156,1443
Pseudomonas_aeruginosa_AZPAE14898_2157,1456
Pseudomonas_aeruginosa_AZPAE14899_2158,1446
Pseudomonas_aeruginosa_AZPAE14900_2159,1447
Pseudomonas_aeruginosa_AZPAE14901_2524,1452
Pseudomonas_aeruginosa_AZPAE14927_2167,1462
Pseudomonas_aeruginosa_AZPAE14928_2168,1454
Pseudomonas_aeruginosa_AZPAE14929_2092,1451
Pseudomonas_aeruginosa_AZPAE14930_2275,1455
Pseudomonas_aeruginosa_AZPAE14931_2271,1457
Pseudomonas_aeruginosa_AZPAE14932_2267,1451
Pseudomonas_aeruginosa_AZPAE14933_2285,1470
Pseudomonas_aeruginosa_AZPAE14936_2264,1441
Pseudomonas_aeruginosa_AZPAE14937_2543,1457
Pseudomonas_aeruginosa_AZPAE14938_2265,1451
Pseudomonas_aeruginosa_AZPAE14939_2541,1437
Pseudomonas_aeruginosa_AZPAE14940_2278,1467
Pseudomonas_aeruginosa_AZPAE14941_2100,1456
Pseudomonas_aeruginosa_AZPAE14942_2282,1450
Pseudomonas_aeruginosa_AZPAE14943_2169,1454
Pseudomonas_aeruginosa_AZPAE14944_2173,1467
Pseudomonas_aeruginosa_AZPAE14945_2172,1460
Pseudomonas_aeruginosa_AZPAE14946_2174,1464
Pseudomonas_aeruginosa_AZPAE14958_2185,1477
Pseudomonas_aeruginosa_AZPAE14959_2186,1451
Pseudomonas_aeruginosa_AZPAE14960_2530,1455
Pseudomonas_aeruginosa_AZPAE14961_2187,1461
Pseudomonas_aeruginosa_AZPAE14962_2188,1451
Pseudomonas_aeruginosa_AZPAE14968_2194,1453
Pseudomonas_aeruginosa_AZPAE14969_2195,1440
Pseudomonas_aeruginosa_AZPAE14970_2196,1449
Pseudomonas_aeruginosa_AZPAE14971_2198,1442
Pseudomonas_aeruginosa_AZPAE14972_2199,1441
Pseudomonas_aeruginosa_AZPAE14973_2201,1470
Pseudomonas_aeruginosa_AZPAE14974_2531,1450
Pseudomonas_aeruginosa_AZPAE14975_2202,1457
Pseudomonas_aeruginosa_AZPAE14976_2203,1450
Pseudomonas_aeruginosa_AZPAE14977_2205,1456
Pseudomonas_aeruginosa_AZPAE15003_2230,1457
Pseudomonas_aeruginosa_AZPAE15004_2231,1452
Pseudomonas_aeruginosa_AZPAE15005_2232,1448
Pseudomonas_aeruginosa_AZPAE15006_2233,1453
Pseudomonas_aeruginosa_AZPAE15007_2234,1461
Pseudomonas_aeruginosa_AZPAE15014_2241,1444
Pseudomonas_aeruginosa_AZPAE15015_2243,1457
Pseudomonas_aeruginosa_AZPAE15016_2242,1444
Pseudomonas_aeruginosa_AZPAE15017_2244,1454
Pseudomonas_aeruginosa_AZPAE15018_2245,1463
Pseudomonas_aeruginosa_AZPAE15023_2249,1455
Pseudomonas_aeruginosa_AZPAE15024_2136,1451
Pseudomonas_aeruginosa_AZPAE15025_2155,1456
Pseudomonas_aeruginosa_AZPAE15026_2170,1457
Pseudomonas_aeruginosa_AZPAE15027_2164,1455
Pseudomonas_aeruginosa_AZPAE15034_2279,1459
Pseudomonas_aeruginosa_AZPAE15035_2514,1457
Pseudomonas_aeruginosa_AZPAE15036_2097,1454
Pseudomonas_aeruginosa_AZPAE15037_2110,1460
Pseudomonas_aeruginosa_AZPAE15038_2118,1453
Pseudomonas_aeruginosa_AZPAE15039_2126,1458
Pseudomonas_aeruginosa_AZPAE15040_2151,1456
Pseudomonas_aeruginosa_AZPAE15041_2144,1467
Pseudomonas_aeruginosa_AZPAE15042_2131,1456
Pseudomonas_aeruginosa_AZPAE15043_2145,1459
Pseudomonas_aeruginosa_AZPAE15044_2200,1458
Pseudomonas_aeruginosa_AZPAE15045_2154,1453
Pseudomonas_aeruginosa_AZPAE15065_2538,1454
Pseudomonas_aeruginosa_AZPAE15066_2260,1463
Pseudomonas_aeruginosa_AZPAE15067_2539,1451
Pseudomonas_aeruginosa_AZPAE15068_2261,1463
Pseudomonas_aeruginosa_AZPAE15069_2262,1455
Pseudomonas_aeruginosa_AZPAE15070_2263,1455
Pseudomonas_aeruginosa_AZPAE15071_2540,1469
Pseudomonas_aeruginosa_AZPAE15072_2259,1449
Pseudomonas_aeruginosa_B136-33,1459
Pseudomonas_aeruginosa_B14130_10394,1457
Pseudomonas_aeruginosa_B17932_10395,1453
Pseudomonas_aeruginosa_B1_P2356_10360,1465
Pseudomonas_aeruginosa_B2_10071,1457
Pseudomonas_aeruginosa_B3_T2101_10023,1465
Pseudomonas_aeruginosa_B41226_10391,1450
Pseudomonas_aeruginosa_BJ4_10535,1462
Pseudomonas_aeruginosa_BK1,1551
Pseudomonas_aeruginosa_BK2_6174,1450
Pseudomonas_aeruginosa_BK3_5889,1461
Pseudomonas_aeruginosa_BK4_6920,1457
Pseudomonas_aeruginosa_BK5_5983,1450
Pseudomonas_aeruginosa_BK6_7000,1456
Pseudomonas_aeruginosa_BL01,1460
Pseudomonas_aeruginosa_BL12,1479
Pseudomonas_aeruginosa_BL13,1474
Pseudomonas_aeruginosa_BL15,1455
Pseudomonas_aeruginosa_BL16,1463
Pseudomonas_aeruginosa_BL17,1463
Pseudomonas_aeruginosa_BL18,1459
Pseudomonas_aeruginosa_BL19,1459
Pseudomonas_aeruginosa_BL20,1464
Pseudomonas_aeruginosa_BL21,1466
Pseudomonas_aeruginosa_BL25,1462
Pseudomonas_aeruginosa_Bo559_10155,1459
Pseudomonas_aeruginosa_Br670_10109,1472
Pseudomonas_aeruginosa_BTP033,1451
Pseudomonas_aeruginosa_BTP034,1470
Pseudomonas_aeruginosa_BTP036,1459
Pseudomonas_aeruginosa_BTP037,1461
Pseudomonas_aeruginosa_BTP038,1464
Pseudomonas_aeruginosa_BWH029,1449
